level_key,features_set,K,classifier,grid_F1,grid_params,precision,recall,f1_score
Level1,sum_features_nohelp,1,Logistic regression,0.7997457350048481,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.6014814814814815,0.5,0.5061868686868687
Level1,sum_features_nohelp,1,SVM,0.8345601134507307,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.6467532467532467,0.6666666666666666,0.6265265265265266
Level1,sum_features_nohelp,1,Random Forest,0.8759154985631566,"{'random_forest_clf__max_depth': 6, 'random_forest_clf__n_estimators': 50}",0.8074074074074074,0.8,0.7920202020202021
Level1,sum_features_nohelp,2,Dummy random,,,0.3873015873015873,0.2571428571428571,0.30529470529470526
Level1,sum_features_nohelp,2,Ordered baseline,,,0.0,0.0,0.0
Level1,sum_features_nohelp,2,Naive Bayes,0.6234334246971963,{'naive_bayes_clf__alpha': 0.1},0.5818181818181818,0.42857142857142855,0.48996083281797564
Level1,sum_features_nohelp,2,Logistic regression,0.8127827444836893,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.6947985347985348,0.6857142857142857,0.6865714285714286
Level1,sum_features_nohelp,2,SVM,0.8626842209435622,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 0.1, 'svm_gaussian_clf__kernel': 'rbf'}",0.64,0.6285714285714286,0.6312430426716141
Level1,sum_features_nohelp,2,Random Forest,0.8647926031330805,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 200}",0.7943485086342229,0.7714285714285715,0.774132104454685
Level1,sum_features_nohelp,3,Dummy random,,,0.5546031746031747,0.22857142857142856,0.26331863625096713
Level1,sum_features_nohelp,3,Ordered baseline,,,0.0,0.0,0.0
