level_key,features_set,classifier,K,feature,importance
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_rate_while_simple_copied,0.00421531644245192
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_rate_pasted,0.0275890826133439
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,GA_avg_open_chest_loc_error,0.0215056157752236
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,GA_avg_walk_loc_error,0.02785038634106778
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,GA_avg_not_allowed_func_error,0.006287955452325371
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,GA_avg_function_param_error,0.037950934868127485
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,EX_avg_too_many_lines_error,0.009977340993244965
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,EX_avg_syntactic_error,0.06686151748333062
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,EX_avg_semantic_error,0.009144928547016332
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,EX_avg_user_stopped,0.010938618123764454
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,EX_avg_executed,0.05043427418039026
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,EX_std_syntactic_error,0.0428576301546066
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,EX_std_executed,0.04112614066997874
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_avg_var_affect_impl,0.0044000649428368776
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_avg_string_impl,0.0006995146141814068
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_avg_for_simple_impl,0.03991565241739565
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,GA_avg_walk_ctr_fun_used,0.03345054616847463
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,GA_avg_left_ctr_fun_used,0.03000147558288746
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,GA_std_walk_ctr_fun_used,0.03827613477731861
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,GA_std_left_ctr_fun_used,0.02414606986652261
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,GA_std_right_ctr_fun_used,0.04368565336068715
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,GA_max_progression,0.05665608965792801
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,EX_rate_speed_changed,0.044786119914896394
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,CO_avg_base_disp_time,0.02686241635382683
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,CO_avg_var_disp_time,0.02991209795002618
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,CO_avg_condi_disp_time,0.029385896912249677
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,CO_avg_for_disp_time,0.20257196949715442
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,CO_avg_while_disp_time,0.012840618861910515
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,CO_rate_code_editor_copied,0.012246453898242991
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,CO_rate_control_function_copied,0.010117067026879136
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,CO_rate_var_creation_copied,0.0011401795105166026
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,CO_rate_var_usage_copied,0.0017529730902983115
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,CO_rate_condi_1bran_copied,0.004097062553464627
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,CO_rate_condi_2bran_copied,0.0007886487194345793
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,CO_rate_condi_3bran_copied,0.0020766236928865785
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,CO_rate_for_simple_copied,0.04828179622173525
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,CO_rate_for_counter_0_copied,0.0010352504160100896
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,CO_rate_for_counter_n_copied,0.001353487273119045
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,CO_rate_while_simple_copied,0.004002647248295351
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,CO_rate_pasted,0.03970435023390642
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,GA_avg_open_chest_loc_error,0.025540394298149548
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,GA_avg_walk_loc_error,0.029598043948503964
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,GA_avg_not_allowed_func_error,0.015232754132869992
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,GA_avg_function_param_error,0.04406916497715912
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,EX_avg_too_many_lines_error,0.0050219200051572
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,EX_avg_syntactic_error,0.06825825253867075
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,EX_avg_semantic_error,0.006974633083975941
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,EX_avg_user_stopped,0.004893789607131982
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,EX_avg_executed,0.08033255882329295
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,CO_avg_var_affect_impl,0.00784053862372847
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,CO_avg_for_simple_impl,0.023370359809797327
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,GA_avg_walk_ctr_fun_used,0.08551031800914241
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,GA_avg_left_ctr_fun_used,0.047450158586284825
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,GA_max_progression,0.07691855702661761
Level1,mean_rate_features_nohelp_nosub,Random Forest,0,EX_rate_speed_changed,0.05081901706956134
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,CO_avg_base_disp_time,0.020094613434360933
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,CO_avg_var_disp_time,0.02641080672312573
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,CO_avg_condi_disp_time,0.02652342896460772
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,CO_avg_for_disp_time,0.16350020053622163
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,CO_avg_while_disp_time,0.013390503640656143
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,CO_rate_code_editor_copied,0.015241343672970736
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,CO_rate_control_function_copied,0.012127427788845067
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,CO_rate_var_creation_copied,0.002236405218758053
Level1,mean_rate_features_nohelp_nosub,Random Forest,1,CO_rate_var_usage_copied,0.0010681025975719334
