level_key,features_set,K,classifier,Precision,Recall,F1_score
Level3,mean_rate_ib_no_sub_content_features_keys,3,Random Forest,0.5573419495484272,0.5494505494505495,0.5451711982667703
Level3,mean_rate_ib_no_sub_content_features_keys,4,Random Forest,0.4966565000655909,0.4805194805194805,0.4787264811875149
Level3,mean_rate_oa_features_keys,0,Dummy random baseline,0.3305440904125115,0.2948717948717949,0.30382757339279076
Level3,mean_rate_oa_features_keys,1,Dummy random baseline,0.30272624201195625,0.2619047619047619,0.2756135038796329
Level3,mean_rate_oa_features_keys,2,Dummy random baseline,0.34883678413090174,0.3333333333333333,0.33736138304613084
Level3,mean_rate_oa_features_keys,3,Dummy random baseline,0.2444991789819376,0.2087912087912088,0.22493894993894994
Level3,mean_rate_oa_features_keys,4,Dummy random baseline,0.23787878787878788,0.22077922077922077,0.22553550345758136
Level3,mean_rate_oa_features_keys,0,Ordered baseline,0.5584269035249427,0.46153846153846156,0.4348097878576833
Level3,mean_rate_oa_features_keys,1,Ordered baseline,0.5499748047367095,0.4166666666666667,0.4058833678398896
Level3,mean_rate_oa_features_keys,2,Ordered baseline,0.5667038275733928,0.44871794871794873,0.42632939074926607
Level3,mean_rate_oa_features_keys,3,Ordered baseline,0.5587912087912088,0.46153846153846156,0.43757959851320394
Level3,mean_rate_oa_features_keys,4,Ordered baseline,0.611933111933112,0.45454545454545453,0.4358321660872968
Level3,mean_rate_oa_features_keys,0,Teacher ordered baseline,0.3929110105580694,0.47435897435897434,0.4267399267399267
Level3,mean_rate_oa_features_keys,1,Teacher ordered baseline,0.4525664811379097,0.5238095238095238,0.48428914835164827
Level3,mean_rate_oa_features_keys,2,Teacher ordered baseline,0.377910342166195,0.46153846153846156,0.4146647470176882
Level3,mean_rate_oa_features_keys,3,Teacher ordered baseline,0.3969960960092539,0.4835164835164835,0.43374978196406766
Level3,mean_rate_oa_features_keys,4,Teacher ordered baseline,0.2934216684216684,0.35064935064935066,0.31295935702715366
Level3,mean_rate_oa_features_keys,0,Naive Bayes,0.2622895622895623,0.38461538461538464,0.30962441314553996
Level3,mean_rate_oa_features_keys,1,Naive Bayes,0.2636941900980472,0.39285714285714285,0.3153061224489796
Level3,mean_rate_oa_features_keys,2,Naive Bayes,0.431422351233672,0.3333333333333333,0.2868861604710662
Level3,mean_rate_oa_features_keys,3,Naive Bayes,0.3952618809761667,0.38461538461538464,0.31750322506625034
Level3,mean_rate_oa_features_keys,4,Naive Bayes,0.40588744588744585,0.35064935064935066,0.27898767898767896
Level3,mean_rate_oa_features_keys,0,Logistic regression,0.4146862622472378,0.41025641025641024,0.38940791267393554
Level3,mean_rate_oa_features_keys,1,Logistic regression,0.5097479740336883,0.5,0.49854909410600223
Level3,mean_rate_oa_features_keys,2,Logistic regression,0.5309966914805625,0.47435897435897434,0.4677803677803678
Level3,mean_rate_oa_features_keys,3,Logistic regression,0.512026561287645,0.42857142857142855,0.40891330891330896
Level3,mean_rate_oa_features_keys,4,Logistic regression,0.503526776254049,0.4805194805194805,0.4654880301127766
Level3,mean_rate_oa_features_keys,0,SVM,0.3782873109796187,0.38461538461538464,0.3586254847631096
Level3,mean_rate_oa_features_keys,1,SVM,0.5014856517319571,0.5,0.4930378401360544
Level3,mean_rate_oa_features_keys,2,SVM,0.5384615384615384,0.4230769230769231,0.4023673282147859
Level3,mean_rate_oa_features_keys,3,SVM,0.5317469595585097,0.4175824175824176,0.38135335406124315
Level3,mean_rate_oa_features_keys,4,SVM,0.4889634175348461,0.42857142857142855,0.403944203944204
Level3,mean_rate_oa_features_keys,0,Decision Tree,0.44900284900284904,0.4358974358974359,0.43755164008923414
Level3,mean_rate_oa_features_keys,1,Decision Tree,0.5320146899339445,0.5238095238095238,0.5236182572935614
